"행정구역별(시군구)","연령별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"행정구역별(시군구)","연령별",내국인(15세이상)-계,내국인-미혼,내국인-배우자있음,내국인-사별,내국인-이혼,남자(15세이상)-계,남자-미혼,남자-배우자있음,남자-사별,남자-이혼,여자(15세이상)-계,여자-미혼,여자-배우자있음,여자-사별,여자-이혼
"부산광역시","합계",2996539,952215,1616409,251603,176312,1464472,539998,810554,35516,78404,1532067,412217,805855,216087,97908
"부산광역시","15~19세",204162,203916,180,63,3,107137,107044,72,21,,97025,96872,108,42,3
"부산광역시","20~24세",241052,237602,3265,65,120,129130,128133,931,20,46,111922,109469,2334,45,74
"부산광역시","25~29세",203649,178701,24316,54,578,106151,98587,7443,16,105,97498,80114,16873,38,473
"부산광역시","30~34세",232423,123770,105446,285,2922,118702,73355,44356,78,913,113721,50415,61090,207,2009
"부산광역시","35~39세",240603,74990,156421,765,8427,122619,47301,72288,181,2849,117984,27689,84133,584,5578
"부산광역시","40~44세",262505,55742,185646,2122,18995,131209,36233,87356,393,7227,131296,19509,98290,1729,11768
"부산광역시","45~49세",278515,34542,207739,5301,30933,135561,23398,98603,1007,12553,142954,11144,109136,4294,18380
"부산광역시","50~54세",292747,18501,227614,11534,35098,141032,12719,110786,1873,15654,151715,5782,116828,9661,19444
"부산광역시","55~59세",306036,12000,237837,22170,34029,146220,7622,119067,3525,16006,159816,4378,118770,18645,18023
"부산광역시","60~64세",237318,5984,179500,29444,22390,113702,3306,94510,4573,11313,123616,2678,84990,24871,11077
"부산광역시","65~69세",177460,2884,126976,35801,11799,84363,1301,71677,5101,6284,93097,1583,55299,30700,5515
"부산광역시","70~74세",138212,1597,86980,43263,6372,63140,599,52844,6365,3332,75072,998,34136,36898,3040
"부산광역시","75~79세",97180,885,49983,43134,3178,40074,242,32692,5624,1516,57106,643,17291,37510,1662
"부산광역시","80~84세",52867,548,18753,32477,1089,18014,102,13462,4020,430,34853,446,5291,28457,659
"부산광역시","85세이상",31810,553,5753,25125,379,7418,56,4467,2719,176,24392,497,1286,22406,203
"대구광역시","합계",2108202,661854,1169869,161570,114909,1040161,382456,586966,22028,48711,1068041,279398,582903,139542,66198
"대구광역시","15~19세",165003,164753,153,89,8,87783,87736,35,12,,77220,77017,118,77,8
"대구광역시","20~24세",175667,173262,2265,60,80,96990,96349,592,34,15,78677,76913,1673,26,65
"대구광역시","25~29세",141311,121742,19036,60,473,77087,70959,5957,35,136,64224,50783,13079,25,337
"대구광역시","30~34세",159593,77400,79879,157,2157,81018,47356,33023,35,604,78575,30044,46856,122,1553
"대구광역시","35~39세",174578,45362,123033,463,5720,87134,28976,55985,78,2095,87444,16386,67048,385,3625
"대구광역시","40~44세",208374,34329,157746,1766,14533,102136,22547,73932,335,5322,106238,11782,83814,1431,9211
"대구광역시","45~49세",220279,21309,171763,4400,22807,107758,14709,83123,782,9144,112521,6600,88640,3618,13663
"대구광역시","50~54세",215024,10792,170656,8765,24811,106374,7282,86997,1363,10732,108650,3510,83659,7402,14079
"대구광역시","55~59세",195205,6145,154315,14507,20238,96295,3948,81116,2241,8990,98910,2197,73199,12266,11248
"대구광역시","60~64세",142623,2969,110079,17876,11699,68305,1550,58294,2780,5681,74318,1419,51785,15096,6018
"대구광역시","65~69세",104632,1433,75501,21132,6566,49150,533,42545,2803,3269,55482,900,32956,18329,3297
"대구광역시","70~74세",84988,1038,53571,27054,3325,37354,277,31760,3655,1662,47634,761,21811,23399,1663
"대구광역시","75~79세",63237,613,33226,27611,1787,25021,126,20535,3538,822,38216,487,12691,24073,965
"대구광역시","80~84세",36917,425,14296,21610,586,12651,78,9883,2511,179,24266,347,4413,19099,407
"대구광역시","85세이상",20771,282,4350,16020,119,5105,30,3189,1826,60,15666,252,1161,14194,59
"인천광역시","합계",2413486,766332,1338076,158480,150598,1203751,438570,677120,23762,64299,1209735,327762,660956,134718,86299
"인천광역시","15~19세",178024,177804,206,12,2,92586,92499,83,3,1,85438,85305,123,9,1
"인천광역시","20~24세",196000,191592,4208,56,144,103394,102159,1146,39,50,92606,89433,3062,17,94
"인천광역시","25~29세",179897,149702,29246,29,920,92290,82321,9751,4,214,87607,67381,19495,25,706
"인천광역시","30~34세",214553,96661,113601,196,4095,110012,59965,48766,61,1220,104541,36696,64835,135,2875
"인천광역시","35~39세",225007,55868,159409,516,9214,115493,36696,75520,131,3146,109514,19172,83889,385,6068
"인천광역시","40~44세",244724,40862,182937,1804,19121,124810,28622,88320,395,7473,119914,12240,94617,1409,11648
"인천광역시","45~49세",251660,24252,193927,4218,29263,124480,17359,94709,861,11551,127180,6893,99218,3357,17712
"인천광역시","50~54세",252792,14631,197129,8823,32209,127479,10482,101231,1631,14135,125313,4149,95898,7192,18074
"인천광역시","55~59세",224240,8106,174181,14791,27162,113405,5308,92920,2670,12507,110835,2798,81261,12121,14655
"인천광역시","60~64세",141749,3502,108543,16115,13589,70473,1931,59183,2728,6631,71276,1571,49360,13387,6958
"인천광역시","65~69세",104414,1440,74613,20260,8101,51088,614,43306,3168,4000,53326,826,31307,17092,4101
"인천광역시","70~74세",80663,956,51244,24498,3965,36869,402,30744,3687,2036,43794,554,20500,20811,1929
"인천광역시","75~79세",59463,388,30681,26615,1779,23639,157,19060,3525,897,35824,231,11621,23090,882
"인천광역시","80~84세",35471,254,12925,21629,663,11572,36,8629,2602,305,23899,218,4296,19027,358
"인천광역시","85세이상",24829,314,5226,18918,371,6161,19,3752,2257,133,18668,295,1474,16661,238
"광주광역시","합계",1252923,422212,678074,89710,62927,618030,236505,343164,12645,25716,634893,185707,334910,77065,37211
"광주광역시","15~19세",112988,112873,65,42,8,58485,58452,14,14,5,54503,54421,51,28,3
"광주광역시","20~24세",113484,111425,1797,165,97,58476,57896,506,41,33,55008,53529,1291,124,64
"광주광역시","25~29세",89419,75567,13372,74,406,46068,41621,4341,36,70,43351,33946,9031,38,336
"광주광역시","30~34세",106737,51113,53744,171,1709,54365,30747,23076,45,497,52372,20366,30668,126,1212
